time,x,z,theta,alpha
0.0,0.0,3.0,0.0,0.1
0.01,0.0009938099400883637,3.0000006623058217,0.0049364958703125,0.10036815819452741
0.02,0.001980513859265013,3.000002534223643,0.01785329482834154,0.1014399566462271
0.03,0.0029740529008861856,3.00000524960894,0.0354881585726039,0.1031296137757584
0.04,0.0039936200840638625,3.000008112113386,0.05549341878181503,0.10532032309093181
0.05,0.005061033014511207,3.0000100233548737,0.07620478319736403,0.10788088842796799
0.06,0.006198876411322737,3.000009506627721,0.09646679100843064,0.11067720759489727
0.07,0.007429221180049643,3.000004806604344,0.11550119797720995,0.11357995422153294
0.08,0.008772772555884037,2.9999940300350976,0.13280785946838367,0.11646947072109015
0.09,0.010248333896235398,2.999975295748309,0.14809018318115996,0.11923864090800416
0.1,0.011872499139155121,2.999946871467003,0.16119914236564242,0.12179432469073985
0.11,0.01365950790932549,2.999907284398129,0.17209130755373775,0.12405779209333848
0.12,0.015621213887682136,2.9998554001045084,0.18079746948825073,0.12596448045122238
0.13,0.01776713009717038,2.999790469417304,0.18739926716765,0.12746331100662947
0.14,0.020104524788921937,2.999712146363909,0.19201186696123096,0.12851573454021054
0.15,0.022638549179113506,2.9996204817591496,0.19477121292186342,0.12909462595088
0.16,0.025372383880274338,2.9995158977146987,0.1958247247282058,0.1291831111734187
0.17,0.028307394928178867,2.9993991482524187,0.1953245884995039,0.12877338338639488
0.18,0.031443293196479954,2.999271270749222,0.1934229896265039,0.12786554656291735
0.19,0.03477829301719266,2.999133532290892,0.19026879229758897,0.12646651104339618
0.2,0.03830926722335154,2.9989873742972493,0.1860052896071835,0.12458895642576133
0.21,0.042031896782303214,2.998834358077904,0.180768739776311,0.12225037052874214
0.22,0.045940813829813625,2.9986761133294997,0.17468747452197908,0.11947216865145009
0.23,0.05002973734550094,2.998514291012634,0.1678814197645561,0.11627889422739177
0.24,0.05429160099978316,2.9983505215567847,0.1604619102785488,0.11269749982838018
0.25,0.058718672900920026,2.9981863789338496,0.15253171135894378,0.10875670601643041
0.26,0.06330266711139071,2.998023350810329,0.14418518427324234,0.10448643456366095
0.27,0.06803484690787173,2.9978628147274358,0.13550854992533407,0.09991731191977624
0.28,0.07290611984240103,2.9977060200595687,0.1265802181483478,0.09508023840686525
0.29,0.07790712473222404,2.9975540753564216,0.11747115946953048,0.09000601839568019
0.3,0.08302831076681387,2.9974079405746665,0.10824530292713672,0.08472504662071356
0.31,0.08826000897471412,2.997268423644278,0.09895994826014264,0.07926704579162856
0.32,0.09359249634079535,2.9971361807853025,0.08966618407839097,0.07366085073342682
0.33,0.09901605290611101,2.9970117199870274,0.08040930587161921,0.06793423442062238
0.34,0.10452101221735623,2.996895407077496,0.07122922924755079,0.0621137714489208
0.35000000000000003,0.11009780552053827,2.996787473842182,0.06216089483687202,0.05622473470123128
0.36,0.11573700011359551,2.9966880276920813,0.053234662036376654,0.05029102120464422
0.37,0.12142933228532797,2.996597062429809,0.04447668929980791,0.04433510343379294
0.38,0.12716573527337025,2.996514469714376,0.035909299108957723,0.03837800258715747
0.39,0.13293736267252534,2.996440050878707,0.027551326116319858,0.032439280640471725
0.4,0.138735607717261,2.9963735288065405,0.019418447274956924,0.026537048260261768
0.41000000000000003,0.1445521188493602,2.9963145596257386,0.011523493076570263,0.020687985936152332
0.42,0.15037881196450611,2.996262744021979,0.003876739310805795,0.014907375959084947
0.43,0.1562078797108891,2.9962176380197243,-0.0035138209624825684,0.009209143130821218
0.44,0.16203179818964708,2.996178763115716,-0.010642225274103499,0.0036059023355374782
0.45,0.16784333138194144,2.9961456156839423,-0.017504309244247722,-0.0018909886649474093
0.46,0.17363553360149256,2.996117675600056,-0.02409749330742228,-0.007271372636055714
