time,x,y,z,yaw,pitch,roll,r,s
0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.03,0.02
0.01,8.780739353301383e-07,5.848576573998434e-07,0.29999999222992824,-2.2152425053182105e-05,0.008157787073859505,-0.005465958923066444,0.030023560402457263,0.019999038111534317
0.02,1.3667106107974976e-05,9.178468966489487e-06,0.29999986543317997,-0.00029036340536561637,0.02927324569155492,-0.01990304964028504,0.03006431913336006,0.020009457425721855
0.03,6.494392998905848e-05,4.400425847853692e-05,0.29999879141262636,-0.001145950079028156,0.05740537519861377,-0.0398147989287064,0.030096295330590137,0.02001341464855222
0.04,0.00019045079138653713,0.0001303403967516166,0.29999433731743025,-0.0027729337215608406,0.0880513141544661,-0.062416712796487195,0.03008450479441399,0.01998611590560248
0.05,0.0004292172258955515,0.0002967950790646995,0.2999819778467762,-0.005107050221588498,0.11796692673902132,-0.08536448087975522,0.029990630344870543,0.01989939471728685
0.06,0.0008192986947524683,0.0005721838340377067,0.29995523186057665,-0.00786145304650383,0.1449513614276287,-0.10665369864238598,0.029777116431888215,0.019724715369243064
0.07,0.0013948813665325488,0.0009829447881522738,0.299906325971499,-0.010611245012984945,0.16761772089306565,-0.12461777554319861,0.02940997826693989,0.01943570790721974
0.08,0.0021844724009938586,0.00155111762274671,0.29982716078353433,-0.012899058661377218,0.1851686362299842,-0.13797015582936145,0.028860613811282698,0.019010226926898674
0.09,0.003209890167684837,0.0022929131849478077,0.2997103502691772,-0.014333540419634368,0.19719732835440087,-0.14585088259268625,0.0281068829388459,0.01843188731575598
0.1,0.004485796734609273,0.003217863101793119,0.29955015530958307,-0.014661916653813058,0.20353291606229398,-0.14785161503877053,0.027133677962143554,0.01769103882915396
0.11,0.006019568286347754,0.004328497506943782,0.2993431933897569,-0.013807521757387163,0.2041410936469487,-0.14400641492734118,0.02593315692324982,0.016785175400851216
0.12,0.007811362456481501,0.005620472179008079,0.2990888561214876,-0.011871280554464177,0.1990799495388259,-0.13474576344466987,0.02450475293032196,0.015718816902646742
0.13,0.009854301398967967,0.007083057213286979,0.29878940310895724,-0.009101883456339352,0.18849952313963245,-0.12081809159052223,0.022855019301560815,0.014502939422614776
0.14,0.012134738594232523,0.008699902112085763,0.2984497329725267,-0.005843490320051665,0.1726662519489564,-0.1031879806949046,0.020997329961895104,0.013154059104730697
0.15,0.0146326135842706,0.010449998759743128,0.2980768668748592,-0.002472812663734746,0.1519917376150064,-0.08292407320259655,0.018951431726077814,0.011693091248814952
0.16,0.01732192124340039,0.012308768415887992,0.297679215589563,0.0006612966921387218,0.1270492336999326,-0.06109194848597199,0.01674283914350688,0.010144109110388193
0.17,0.02017132974292045,0.014249200558639192,0.29726573003886053,0.003284244024786622,0.09856900542238672,-0.038666255999968625,0.014402069133445081,0.008533115405133107
0.18,0.023144973679079844,0.016242973243676743,0.29684504813940066,0.005221258920454878,0.06741218454295891,-0.016471748833056778,0.011963725802652888,0.006886915897618481
0.19,0.02620342833631528,0.01826149110807333,0.2964247432737395,0.006401459760398754,0.034529083975777884,0.004844048306598327,0.009465460110966127,0.005232153275075366
0.2,0.029304843822554612,0.02027679078049559,0.29601075437024393,0.006845017050739332,0.0009106671102848962,0.024810392356232346,0.006946840535842611,0.0035945271370765603
0.21,0.03240619192766674,0.02226228304869935,0.29560704232788126,0.006640658916070401,-0.032458775197898304,0.043113108837342776,0.004448177644229731,0.0019981985029779116
0.22,0.03546456103958864,0.02419332244559923,0.29521548156993127,0.005920591246202723,-0.0646423286050394,0.059563714496728815,0.0020093472803143757,0.00046535871788712054
0.23,0.03843842876535119,0.026047613126993566,0.294835965875328,0.004837894470971529,-0.09478220488475363,0.07406570419522303,-0.00033134514465678767,-0.0009840660998361897
0.24,0.0412888473958255,0.027805471956238226,0.2944666876678943,0.003548919804812719,-0.1221226308535962,0.08658343673817818,-0.0025382215425388136,-0.0023326047143075916
0.25,0.04398049051362032,0.02944997516325062,0.29410453972993533,0.002201100072644072,-0.14602533752897107,0.09711660309170683,-0.00457917734773489,-0.00356535027673238
0.26,0.04648252546010736,0.03096701541481157,0.293745586019272,0.0009253121204294344,-0.165979501710891,0.10568133821887103,-0.006426491016759924,-0.004670010080865301
0.27,0.04876929232748307,0.032345293909684915,0.29338555149812146,-0.0001685561187519946,-0.18160772754897628,0.11229780279801584,-0.0080574762130344,-0.005636911376475232
0.28,0.05082078334662551,0.03357626900312301,0.2930202874800545,-0.0009941105094011646,-0.19266908242994477,0.11698342255179311,-0.009454961055708604,-0.006458975990956153
0.29,0.05262292616704799,0.03465407969260758,0.29264617739369375,-0.0014899456741548254,-0.19905958947265023,0.11975075103713431,-0.010607583816246881,-0.007131674616089963
0.3,0.054167680772136004,0.035575459030042084,0.2922604570183177,-0.0016206061770384298,-0.2008100936924749,0.12060894025959742,-0.011509899939100714,-0.007652969932191967
0.31,0.05545296338601192,0.03633964875025216,0.29186143252015634,-0.001377089918671667,-0.19808113568193525,0.11956792573729215,-0.01216230152889498,-0.008023255353121048
0.32,0.056482412615779964,0.036948321792639495,0.2914485885991231,-0.00077667462040173,-0.1911543965196766,0.11664456717005114,-0.01257075743152733,-0.008245292654463214
0.33,0.05726501408550331,0.03740551397364595,0.291022587483767,0.00013831508855656157,-0.18042039278609048,0.11187008047078342,-0.012746389333435372,-0.008324147298484097
0.34,0.05781460065573422,0.03771756027625967,0.2905851672235236,0.001303205062146313,-0.16636235397994184,0.10529813045525363,-0.012704906260487607,-0.00826711560761422
0.35000000000000003,0.058149246498398886,0.037893025779324054,0.2901389545908139,0.002635422159707797,-0.14953655329428725,0.09701292826594868,-0.012465925753601255,-0.008083633998661757
0.36,0.05829057510681598,0.03794261698877,0.2896872137307095,0.004040746668612937,-0.13054973530810107,0.08713661311216939,-0.012052214215448935,-0.007785158116441862
0.37,0.05826300378929151,0.037879057044977245,0.28923355614430657,0.005421088388620652,-0.11003464385127307,0.07583512620807044,-0.011488881072434445,-0.0073849994273961495
0.38,0.05809295002186878,0.03771690857421972,0.2887816401582786,0.0066831547545643764,-0.08862495696857026,0.06332174691219053,-0.010802561359967038,-0.006898108780949298
0.39,0.05780802759269171,0.03747233112495687,0.28833488814900954,0.0077470796964224705,-0.06693114185633939,0.04985750223625959,-0.010020619237073414,-0.006340800382474508
0.4,0.057436261901644255,0.03716276603958823,0.2878962470437315,0.008553919754209894,-0.04551880996004873,0.035747821755609845,-0.009170401053183131,-0.005730415037435885
0.41000000000000003,0.05700535322590831,0.036806549593983016,0.28746801201158756,0.00907096326842421,-0.02489104498294047,0.02133511278184108,-0.008278561300784477,-0.005084927738137013
0.42,0.05654201365673696,0.03642246413279617,0.287051725355469,0.009294059204479826,-0.005475873292133476,0.006987363617817797,-0.0073704785162379246,-0.0044225108985978066
0.43,0.056071397730073885,0.03602924528042233,0.28664815353647644,0.00924661537707488,0.012380444516161743,-0.006916609802564569,-0.006469771402951869,-0.0037610700140330434
0.44,0.05561663912505501,0.03564506968674834,0.2862573364302922,0.008975447433450044,0.028414250370316054,-0.02000417057241776,-0.005597918660676642,-0.0031177725260880845
0.45,0.055198497312810804,0.03528705113455818,0.28587869569309915,0.008544156180899513,0.04244007619610003,-0.03192665708777319,-0.004773979762253991,-0.0025085927006422283
0.46,0.05483511003425924,0.03497077279584788,0.2855111844542195,0.008025057917801018,0.05434220175355327,-0.04237635875261044,-0.004014408759379107,-0.0019478951441902542
0.47000000000000003,0.054541841146626385,0.034709880275573014,0.28515345878123594,0.007490823888693994,0.06406380631439446,-0.051101160435001694,-0.0033329495560214866,-0.0014480772979989388
0.48,0.054331209444065505,0.034515754656424036,0.2848040521925539,0.007006899623811494,0.07159546741079417,-0.05791565739039372,-0.0027405992078938365,-0.001019287250497904
0.49,0.0542128827141887,0.03439727813757479,0.2844615372116062,0.006625527774190245,0.07696459647299599,-0.06270798499020452,-0.002245625689407106,-0.0006692280824668266
0.5,0.05419372222823723,0.03436069807562957,0.2841246617164214,0.00638187131258271,0.08022699156503167,-0.06544208234526216,-0.0018536279684095334,-0.0004030543473904243
0.51,0.054277865437837566,0.03440958906237487,0.2837924519021342,0.006292404295333547,0.0814611285892114,-0.0661555364773588,-0.0015676286996992926,-0.0002233607681077327
0.52,0.05446683809598158,0.03454490755195786,0.2834642775591245,0.0063554549797017745,0.08076522275926658,-0.06495349196094255,-0.001388192839612957,-0.00013025824237119892
0.53,0.05475969059985448,0.034765129621023245,0.28313987885092873,0.006553571605852326,0.07825658230845532,-0.06199935274354018,-0.0013135684391530347,-0.0001215280840126624
0.54,0.055153156473628444,0.03506645965135267,0.2828193567972773,0.006857235762027139,0.07407242663742629,-0.057503159661919954,-0.0013398483205079867,-0.00019284224427640263
0.55,0.05564183316097661,0.035443095921084765,0.28250313222238194,0.007229367077048933,0.06837119037368222,-0.0517086112660853,-0.0014611529587955096,-0.00033803512918070225
0.56,0.056218386463391536,0.0358875381324327,0.28219187997533013,0.007630043291487155,0.06133337969568685,-0.0448797102715463,-0.0016698355334649677,-0.0005494115607667941
0.5700000000000001,0.05687378000551531,0.0363909216879587,0.2818864466676585,0.008020901008720945,0.05316124899087015,-0.03728795922521585,-0.001956709812634418,-0.0008180753794500869
0.58,0.05759753015488439,0.03694336399402747,0.28158776087728693,0.008368780869305018,0.04407686285768756,-0.0292008943632149,-0.0023113004619083445,-0.0011342640556443843
0.59,0.058377985119960916,0.03753430917496794,0.28129674464958604,0.0086483241001507,0.03431843158998848,-0.020872544731609433,-0.0027221137926123616,-0.0014876763188342726
0.6,0.059202624830726795,0.03815285926022483,0.28101423418972454,0.008843393171777743,0.024135096215683015,-0.012536157760252827,-0.003176925184364844,-0.0018677820159360185
0.61,0.060058376035372146,0.038788082047369006,0.2807409160064043,0.008947350059502443,0.013780549541745065,-0.00439927691502111,-0.0036630777185075497,-0.0022641059372101847
0.62,0.06093193516331425,0.03942928828021804,0.2804772826577318,0.008962355874911185,0.0035059942980356362,0.0033589719281597805,-0.004167785171476441,-0.0026664799490423038
0.63,0.061810090170439085,0.04006627330926303,0.2802236099440107,0.008897938933359056,-0.0064470372291961335,0.010588702501592122,-0.004678431592622956,-0.0030652602248426863
